product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Speakeasy,Bras,28.5,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,Transparent Floral,Bras,36,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D","32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 36A , 36B , 36C , 36D , 36DD , 38C",Calvin-Klein,Amazon US,"An unlined demi cup bra featuring sheer, sexy fabrication and bold, contrasting edging with repeating Calvin Klein logo.",Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Lightly Lined Demi Bra,Black,Bras,38,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD","32B , 32C , 32D , 32DD , 34A , 34B , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D , 38DD",Calvin-Klein,Amazon US,"This signature, modern t-shirt bra features soft demi cups and adjustable straps with contrasting piping.",Calvin Klein Women's Everyday Lightly Lined Demi Bra,,,25-04-20 13:40
Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,Sultry,Bras,36,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D","32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 36A , 36B , 36C , 36D , 38B , 38C",Calvin-Klein,Amazon US,"An unlined demi cup bra featuring sheer, sexy fabrication and bold, contrasting edging with repeating Calvin Klein logo.",Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,,,25-04-20 13:40
Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,Nympth's Thigh,Bras,36,"30B , 30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 36A , 36B , 36C , 36D , 36DD , 38B , 38C , 38D","30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 36A , 36B , 36C , 38B",Calvin-Klein,Amazon US,"An unlined demi cup bra featuring sheer, sexy fabrication and bold, contrasting edging with repeating Calvin Klein logo.",Calvin Klein Women's Sheer Marquisette Demi Unlined Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,Bare,Bras,38,"32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD","32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D",Calvin-Klein,Amazon US,This full coverage lightly lined bra provides ultimate comfort featuring new and improved fit offered in an extended size range.,Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,,,25-04-20 13:40
Calvin Klein Women's Seductive Comfort Lift Strapless Multiway Bra,Bare,Bras,44,"30C , 30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38A , 38B , 38C , 38D , 38DD","30D , 30DD , 32A , 32B , 32C , 32D , 32DD , 34A , 34B , 34C , 34D , 34DD , 36A , 36B , 36C , 36D , 36DD , 38C , 38D , 38DD",Calvin-Klein,Amazon US,This strapless multiway bra features seamless customized lift push up cups and sensual lace wings with supportive silicone elastic inside.,Calvin Klein Women's Seductive Comfort Lift Strapless Multiway Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,Bronzed,Bras,38,"32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD","32D , 32DD , 34B , 34C , 34D , 34DD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 40C , 40D",Calvin-Klein,Amazon US,This full coverage lightly lined bra provides ultimate comfort featuring new and improved fit offered in an extended size range.,Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,Cinnamon,Bras,38,"32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD","32C , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D",Calvin-Klein,Amazon US,This full coverage lightly lined bra provides ultimate comfort featuring new and improved fit offered in an extended size range.,Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,,,25-04-20 13:40
Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,Bare,Bras,33.63,"32C , 32D , 32DD , 32DDD , 34B , 34C , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D , 40DD","32C , 32D , 32DD , 32DDD , 34B , 34D , 34DD , 34DDD , 36B , 36C , 36D , 36DD , 36DDD , 38B , 38C , 38D , 38DD , 38DDD , 40C , 40D",Calvin-Klein,Amazon US,This full coverage lightly lined bra provides ultimate comfort featuring new and improved fit offered in an extended size range.,Calvin Klein Women's Everyday Calvin Full Coverage Lightly Lined Bra,,,25-04-20 13:40
