product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
invisibles hipster,CHOCOLATE BROWN,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the invisibles hipster features a laser-cut and raw edge seams.,invisibles hipster,NULL,NULL,25-04-20 13:57
invisibles hipster,SPEAKEASY,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the invisibles hipster features a laser-cut and raw edge seams.,invisibles hipster,NULL,NULL,25-04-20 13:57
essentials bikini,EPHEMERAL WITH IVORY LACE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an essential bikini panty featuring lightweight, silky fabric, a thin elasticized logo waistband and tonal lace trim.",essentials bikini,NULL,NULL,25-04-20 13:57
essentials bikini,TRANSPINK WITH SCANDAL LACE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an essential bikini panty featuring lightweight, silky fabric, a thin elasticized logo waistband and tonal lace trim.",essentials bikini,NULL,NULL,25-04-20 13:57
essentials bikini,DOT FLOW WITH WATERSONE LACE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an essential bikini panty featuring lightweight, silky fabric, a thin elasticized logo waistband and tonal lace trim.",essentials bikini,NULL,NULL,25-04-20 13:57
cotton logo with lace hipster,BLACK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,this hipster panty features scalloped lace details and a narrow logo elasticized waistband.,cotton logo with lace hipster,NULL,NULL,25-04-20 13:57
cotton logo with lace hipster,WHITE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,this hipster panty features scalloped lace details and a narrow logo elasticized waistband.,cotton logo with lace hipster,NULL,NULL,25-04-20 13:57
cotton logo with lace hipster,REFLECTIVE CK LOGO,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,this hipster panty features scalloped lace details and a narrow logo elasticized waistband.,cotton logo with lace hipster,NULL,NULL,25-04-20 13:57
cotton logo with lace hipster,STRIKING,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,this hipster panty features scalloped lace details and a narrow logo elasticized waistband.,cotton logo with lace hipster,NULL,NULL,25-04-20 13:57
invisibles hipster,EFFERVESCENT DOT,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles hipster,NULL,NULL,25-04-20 13:57
logo cotton bikini,GREY,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the logo cotton bikini features an elasticized logo waistband and full cotton gusset.,logo cotton bikini,NULL,NULL,25-04-20 13:57
logo cotton bikini,HIGH OCTANE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the logo cotton bikini features an elasticized logo waistband and full cotton gusset.,logo cotton bikini,NULL,NULL,25-04-20 13:57
logo cotton bikini,RETROGRADE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the logo cotton bikini features an elasticized logo waistband and full cotton gusset.,logo cotton bikini,NULL,NULL,25-04-20 13:57
pure seamless hipster,BLACK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and moderate rear coverage.,pure seamless hipster,NULL,NULL,25-04-20 13:57
pure seamless hipster,WHITE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and moderate rear coverage.,pure seamless hipster,NULL,NULL,25-04-20 13:57
pure seamless hipster,SPARROW,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and moderate rear coverage.,pure seamless hipster,NULL,NULL,25-04-20 13:57
pure seamless hipster,BARE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and moderate rear coverage.,pure seamless hipster,NULL,NULL,25-04-20 13:57
pure seamless hipster,SALT LAKE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and moderate rear coverage.,pure seamless hipster,NULL,NULL,25-04-20 13:57
pure seamless hipster,SENSATION,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a seamless style with contrasting print logo on the waistband and moderate rear coverage.,pure seamless hipster,NULL,NULL,25-04-20 13:57
seamless illusions striped hipster,BLACK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.,seamless illusions striped hipster,NULL,NULL,25-04-20 13:57
seamless illusions striped hipster,STELLA BLUE/WATER STONE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,an illusions stripe print with seamless edges for a no-show look and stretch fabric in a comfortable hipster style.,seamless illusions striped hipster,NULL,NULL,25-04-20 13:57
invisibles hipster,POLYMER BLUE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel for a sleek tagless style.",invisibles hipster,NULL,NULL,25-04-20 13:57
invisibles hipster,DESERT SUNSET,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel for a sleek tagless style.",invisibles hipster,NULL,NULL,25-04-20 13:57
logo cotton hipster,BLACK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a hipster panty designed with an elasticized logo waistband and a full cotton gusset.,logo cotton hipster,NULL,NULL,25-04-20 13:57
logo cotton hipster,WHITE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a hipster panty designed with an elasticized logo waistband and a full cotton gusset.,logo cotton hipster,NULL,NULL,25-04-20 13:57
logo cotton hipster,NAVY,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a hipster panty designed with an elasticized logo waistband and a full cotton gusset.,logo cotton hipster,NULL,NULL,25-04-20 13:57
logo cotton hipster,EPHERMERAL,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a hipster panty designed with an elasticized logo waistband and a full cotton gusset.,logo cotton hipster,NULL,NULL,25-04-20 13:57
logo cotton hipster,POLYMER BLUE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,a hipster panty designed with an elasticized logo waistband and a full cotton gusset.,logo cotton hipster,NULL,NULL,25-04-20 13:57
logo cotton hipster,SCANDAL,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"a hipster panty designed with cotton stretch fabric, an elasticized logo waistband and a full cotton gusset.",logo cotton hipster,NULL,NULL,25-04-20 13:57
logo cotton stretch thong,EPHERMERAL,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage thong style.,logo cotton stretch thong,NULL,NULL,25-04-20 13:57
logo cotton stretch thong,POLYMER BLUE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage thong style.,logo cotton stretch thong,NULL,NULL,25-04-20 13:57
essentials bikini,BLACK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the essentials bikini features a lace trim and sheer elasticized waistband.,essentials bikini,NULL,NULL,25-04-20 13:57
essentials bikini,LEOPARD,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the essentials bikini features a lace trim and sheer elasticized waistband.,essentials bikini,NULL,NULL,25-04-20 13:57
essentials bikini,BROWN,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the essentials bikini features a lace trim and sheer elasticized waistband.,essentials bikini,NULL,NULL,25-04-20 13:57
logo cotton thong,GREY HEATHER,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the logo cotton thong features an elasticized logo waistband and minimal rear coverage.,logo cotton thong,NULL,NULL,25-04-20 13:57
cotton logo with lace thong,REFLECTIVE CK LOGO,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the cotton thong features scalloped lace trim and a narrow logo elasticized waistband.,cotton logo with lace thong,NULL,NULL,25-04-20 13:57
cotton logo with lace thong,GRACIOUS,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the cotton thong features scalloped lace trim and a narrow logo elasticized waistband.,cotton logo with lace thong,NULL,NULL,25-04-20 13:57
cotton logo with lace thong,STRIKING,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the cotton thong features scalloped lace trim and a narrow logo elasticized waistband.,cotton logo with lace thong,NULL,NULL,25-04-20 13:57
logo + lace-trim bikini,BLACK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the cotton bikini features a flat logo waistband and contrasting lace trim.,logo + lace-trim bikini,NULL,NULL,25-04-20 13:57
logo + lace-trim bikini,WHITE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the cotton bikini features a flat logo waistband and contrasting lace trim.,logo + lace-trim bikini,NULL,NULL,25-04-20 13:57
logo + lace-trim bikini,REFLECTIVE CK LOGO,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,the cotton bikini features a flat logo waistband and contrasting lace trim.,logo + lace-trim bikini,NULL,NULL,25-04-20 13:57
invisibles hipster,SCRIPTED LINES LOGO WHITE,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles hipster,NULL,NULL,25-04-20 13:57
invisibles hipster,STICKER PRINT,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles hipster,NULL,NULL,25-04-20 13:57
invisibles hipster,PETITE CRESCENT PRINT,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles hipster,NULL,NULL,25-04-20 13:57
invisibles hipster,OFFSET BRICK,Panties,13,"s,m,l","s,m,l",Calvin Klein,Calvin Klein US,"an invisibles hipster featuring a streamlined design with an ultra silky, lightweight feel and a logo at the waist for a sleek tagless style.",invisibles hipster,NULL,NULL,25-04-20 13:57
