product_name,color,product_category,mrp,total_sizes,available_size,brand_name,retailer,description,pdp_url,rating,review_count,scrapping_datetime
Invisibles T-Shirt Bra QF1184,Black,Women - Lingerie & Shapewear - Designer Lingerie,44,"34B, 34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38B, 38C, 38D, 38DD","34B, 34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38B",Calvin Klein,Macys US,Moderate coverage that disappears under clothes? Calvin Klein pulls it off with this seamless Invisibles T-Shirt Bra. Style #QF1184,Invisibles T-Shirt Bra QF1184,3.8,6,26-04-20 19:25
Retro Chic High-Cut Brief 841186,Black,Women - Lingerie & Shapewear - Panties,32,"S, M, L, XL, XXL, 2X","S, M, L, XL, XXL",Wacoal,Macys US,"With luscious lace and a pretty cut, this Wacoal brief has beautiful retro style. Style #841186",Retro Chic High-Cut Brief 841186,4.7,19,26-04-20 19:25
Perfectly Fit Wireless Contour Convertible Bra F2781,Black,Women - Lingerie & Shapewear - Designer Lingerie,38,"32A, 32B, 32C, 32D, 34A, 34B, 34C, 34D, 36A, 36B, 36C, 38B, 38C","32A, 32B, 32C, 32D, 34A, 34B, 34C, 34D, 36A",Calvin Klein,Macys US,"The best wireless creation since the internet. This Calvin Klein Perfect Fit Wireless Contour Convertible Bra gives perfect, seamless support that keeps you comfortable all day long. Style #F2781",Perfectly Fit Wireless Contour Convertible Bra F2781,4.6,68,26-04-20 19:25
Signature Lace Bralette 113,Black,Women - Lingerie & Shapewear - Bras,46,"XS, S, M","XS, S, M",Hanky Panky,Macys US,"You can't go wrong with Hanky Panky's signature fit, feel and comfort. The Signature Lace Bralette is made of beautiful, soft lace. Style #113",Signature Lace Bralette 113,4.7,7,26-04-20 19:25
Seductive Comfort Push-Up Add-A-Size Bra QF1446,Black,Women - Lingerie & Shapewear - Designer Lingerie,48,"32A, 32B, 32C, 32D, 34A, 34B, 34C, 34D, 36A, 36B, 36C, 36D, 38B, 38C","32A, 32B, 32C, 32D, 34A, 34B, 34C, 34D, 36A",Calvin Klein,Macys US,This classic Seductive Comfort push-up bra from Calvin Klein is made special by lovely lace wings.,Seductive Comfort Push-Up Add-A-Size Bra QF1446,4.7,6,26-04-20 19:25
Perfectly Fit Memory Touch Racerback Bra QF1092,Black,Women - Lingerie & Shapewear - Bras,46,"32A, 32B, 32C, 32D, 32DD, 34A, 34B, 34C, 34D, 34DD, 36A, 36B, 36C, 36D, 36DD","32A, 32B, 32C, 32D, 32DD, 34A, 34B, 34C, 34D",Calvin Klein,Macys US,The Perfectly Fit Memory Touch Racerback Bra will fit you just right. By Calvin Klein. Style #QF1092,Perfectly Fit Memory Touch Racerback Bra QF1092,4.3,16,26-04-20 19:25
Plus Size After Midnight Open Panel Keyhole Teddy 488406X,Black,Women - Lingerie & Shapewear - Designer Lingerie,79,"1X, 2X, 3X","1X, 2X, 3X",Hanky Panky,Macys US,"Unleash your sexy side with a seductive style from Hanky Panky's After Midnight Collection. The plus-size Open Panel Keyhole Teddy features a lace body with decorative bow details, a keyhole opening at the back and an open panel design. Style #488406X",Plus Size After Midnight Open Panel Keyhole Teddy 488406X,4.5,2,26-04-20 19:25
Sheer Marquisette Lace-Trimmed Unlined Bralette QF1842,Black,Women - Lingerie & Shapewear - Bras,36,"XS, S, M, L, XL","XS, S, M, L, XL",Calvin Klein,Macys US,Beautiful lace trim accentuates your figure in this Sheer Marquisette bralette from Calvin Klein.,Sheer Marquisette Lace-Trimmed Unlined Bralette QF1842,5,1,26-04-20 19:25
ID Logo Mesh-Panel Hipster QF1780,Black,Women - Lingerie & Shapewear - Designer Lingerie,22,"S, M, L","S, M, L",Calvin Klein,Macys US,Kick your style up a notch with this logo-enhanced cooling hipster from Calvin Klein.,ID Logo Mesh-Panel Hipster QF1780,5,1,26-04-20 19:25
Invisibles with Lace T-Shirt Bra QF1528,Black,Women - Lingerie & Shapewear - Designer Lingerie,48,"34B, 34C, 34D, 34DD, 36B, 36C, 36D, 36DD, 38B, 38C, 38D, 38DD","34C, 34D, 34DD, 36DD, 38B",Calvin Klein,Macys US,A pretty floral lace overlay perfectly complements this sheer mesh T-shirt bra from Calvin Klein.,Invisibles with Lace T-Shirt Bra QF1528,3.7,3,26-04-20 19:25
Icon Perfect Push Up Bra F3647,Black,Women - Lingerie & Shapewear - Designer Lingerie,44,"32A, 32B, 32C, 32D, 34A, 34B, 34C, 34D, 36A, 36B, 36C, 36D, 38B, 38C, 38D","32A, 32B, 32C, 32D, 34A, 34B, 34C, 34D, 36A",Calvin Klein,Macys US,Calvin Klein's Icon Perfect Push Up Bra features air gel push-up technology that gives you the sexy style you desire. Convertible straps add versatility. Style #F3647,Icon Perfect Push Up Bra F3647,4.8,8,26-04-20 19:25
Seductive Comfort Lace Underwire Bra QF1741,Black,Women - Lingerie & Shapewear - Designer Lingerie,46,"32B, 32C, 32D, 32DD, 32DDD, 34B, 34C, 34D, 34DD, 34DDD, 36B, 36C, 36D, 36DD, 36DDD, 38B, 38C, 38D, 38DD, 38DDD, 40B, 40C, 40D, 40DDD","32B, 32C, 32D, 32DD, 34B, 34C, 34D",Calvin Klein,Macys US,An elegant floral lace pattern dances across the cups of this supportive and comfortable bra from Calvin Klein.,Seductive Comfort Lace Underwire Bra QF1741,4,7,26-04-20 19:25
Seductive Comfort Customized Lift Bra F2892,Black,Women - Lingerie & Shapewear - Designer Lingerie,44,"30C, 30D, 30DD, 32A, 32B, 32C, 32D, 32DD, 32DDD, 34A, 34B, 34C, 34D, 34DD, 34DDD, 36A, 36B, 36C, 36D, 36DD, 36DDD, 38B, 38C, 38D, 38DD","30C, 30D, 30DD, 32A, 32B, 32C, 32D, 32DD, 34A",Calvin Klein,Macys US,A beautiful bra tailored for you: the Calvin Klein customized-lift design provides the perfect amount of support for every cup size. Style #F2892,Seductive Comfort Customized Lift Bra F2892,4.5,48,26-04-20 19:25
"Bare Lace-Trim Bralette QF4045, Only at Macy's",Black,Women - Lingerie & Shapewear - Bras,24,"XS, S, M, L, XL","XS, S, M, L, XL",Calvin Klein,Macys US,Discover total comfort when you layer the Exclusive Bare bralette from Calvin Klein under your favorite top.,"Bare Lace-Trim Bralette QF4045, Only at Macy's",5,1,26-04-20 19:25
